Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.008277297788342337,3.430188522904213e-4,42-51
monoMulti,2,0.016442011199708572,6.754039819090298e-4,42-51
nState,1,0.008277297788342337,3.430188522904213e-4,42-51
nState,2,0.016442011199708572,6.754039819090298e-4,42-51
Phase,1,0.008281857966685624,3.435457756031377e-4,42-51
Phase,2,0.016442011199708572,6.754039819090298e-4,42-51
monoMulti,1,0.007254417580626793,0.0014158217183505963,47-56
monoMulti,2,0.018310486445088335,8.782342665379472e-4,47-56
nState,1,0.007254417580626793,0.0014158217183505963,47-56
nState,2,0.018310486445088335,8.782342665379472e-4,47-56
Phase,1,0.007258383832623977,0.0014171670684569276,47-56
Phase,2,0.018310486445088335,8.782342665379472e-4,47-56
monoMulti,1,0.006964467701187293,8.336810772355773e-4,52-61
monoMulti,2,0.016928972772869602,9.848286588286057e-4,52-61
nState,1,0.006964467701187293,8.336810772355773e-4,52-61
nState,2,0.016928972772869602,9.848286588286057e-4,52-61
Phase,1,0.0069715568933541,8.330194160738038e-4,52-61
Phase,2,0.016928972772869602,9.848286588286057e-4,52-61
monoMulti,1,0.010962784402251733,6.695414813474127e-4,1-10
monoMulti,2,0.25851096303346327,0.0025424996535827627,1-10
nState,1,0.010962784402251733,6.695414813474127e-4,1-10
nState,2,0.25851096303346327,0.0025424996535827627,1-10
Phase,1,0.011813694921252279,0.001019300808858453,1-10
Phase,2,0.2589617544250969,0.00240628399204867,1-10
monoMulti,1,0.015999661598549802,2.2611435597391416e-4,11-20
monoMulti,2,0.032694901999090024,0.0014255800789144159,11-20
nState,1,0.015999661598549802,2.2611435597391416e-4,11-20
nState,2,0.032694901999090024,0.0014255800789144159,11-20
Phase,1,0.01601686159949622,2.2377932516325888e-4,11-20
Phase,2,0.032694901999090024,0.0014255800789144159,11-20
monoMulti,1,0.0125316406813608,9.159016923416679e-4,21-30
monoMulti,2,0.02327557030736581,0.0016748799909666922,21-30
nState,1,0.0125316406813608,9.159016923416679e-4,21-30
nState,2,0.02327557030736581,0.0016748799909666922,21-30
Phase,1,0.012545939767676444,9.230813269363173e-4,21-30
Phase,2,0.023275570307365812,0.0016748799909666972,21-30
monoMulti,1,0.009318759000545544,9.234084467427203e-4,31-40
monoMulti,2,0.018834196202223655,0.001689434009959066,31-40
nState,1,0.009318759000545544,9.234084467427203e-4,31-40
nState,2,0.018834196202223655,0.001689434009959066,31-40
Phase,1,0.009328743514760296,9.273434331164093e-4,31-40
Phase,2,0.018834196202223655,0.0016894340099590668,31-40
monoMulti,1,0.008309017685905013,7.721732773023759e-4,41-50
monoMulti,2,0.01731357663655356,4.7217207771561495e-4,41-50
nState,1,0.008309017685905013,7.721732773023759e-4,41-50
nState,2,0.01731357663655356,4.7217207771561495e-4,41-50
Phase,1,0.008314299171449937,7.720640624278814e-4,41-50
Phase,2,0.01731357663655356,4.7217207771561495e-4,41-50
monoMulti,1,0.00688014456262313,4.811058136535399e-4,51-60
monoMulti,2,0.01577769269695494,0.001513726006019173,51-60
nState,1,0.00688014456262313,4.811058136535399e-4,51-60
nState,2,0.01577769269695494,0.001513726006019173,51-60
Phase,1,0.006884503401617727,4.819664202571379e-4,51-60
Phase,2,0.01577769269695494,0.001513726006019173,51-60
monoMulti,1,0.0065163673286903,2.6340757098106067e-4,61-70
monoMulti,2,0.017268659005827178,7.684297015534904e-4,61-70
nState,1,0.0065163673286903,2.6340757098106067e-4,61-70
nState,2,0.017268659005827178,7.684297015534904e-4,61-70
Phase,1,0.006519668053968247,2.631759726464749e-4,61-70
Phase,2,0.01726865900582718,7.684297015534863e-4,61-70
monoMulti,1,0.0044692640696559465,7.876029502575136e-4,71-80
monoMulti,2,0.01552224524386523,0.0010271435404725201,71-80
nState,1,0.0044692640696559465,7.876029502575136e-4,71-80
nState,2,0.01552224524386523,0.0010271435404725201,71-80
Phase,1,0.004470826855429277,7.883534355717362e-4,71-80
Phase,2,0.01552224524386523,0.0010271435404725201,71-80
monoMulti,1,0.00390572107901287,0.0011766240561053786,81-90
monoMulti,2,0.015244813065979199,9.223104933271932e-4,81-90
nState,1,0.00390572107901287,0.0011766240561053786,81-90
nState,2,0.015244813065979199,9.223104933271932e-4,81-90
Phase,1,0.00390702226016391,0.0011771224627126341,81-90
Phase,2,0.015244813065979199,9.223104933271932e-4,81-90
monoMulti,1,0.0035789237110991,2.7969084852845044e-4,91-100
monoMulti,2,0.014678380230884186,0.0011299931116189473,91-100
nState,1,0.0035789237110991,2.7969084852845044e-4,91-100
nState,2,0.014678380230884186,0.0011299931116189473,91-100
Phase,1,0.003580893555058123,2.7987387498715113e-4,91-100
Phase,2,0.014678380230884186,0.0011299931116189473,91-100
